z
@Itsgametime,@zxeed,171926,2023-11-27 15:35:31,1,2000g,2000.0g,akuma,Crafting Motif 102: Sul-Xan Swords,1,Epic,consumable,,motif
@jornsnow1975,@Angelhigue,64504,2023-11-27 15:20:47,100,7000g,70.0g,akuma,Ancestor Silk,1,Normal,normal,,materials
@Itsgametime,@Nyyah,170141,2023-11-27 15:01:25,1,1900g,1900.0g,akuma,Crafting Motif 98: House Hexos Maces,1,Epic,consumable,,motif
@illuminaughty69,@Knight-errant,68342,2023-11-27 14:52:16,1,92000g,92000.0g,akuma,Hakeijo,1,Normal,essence,,runestone
@Jos.Soma,@Knight-errant,68342,2023-11-27 14:52:14,3,270000g,90000.0g,akuma,Hakeijo,1,Normal,essence,,runestone
@Jos.Soma,@Knight-errant,68342,2023-11-27 14:52:13,3,270000g,90000.0g,akuma,Hakeijo,1,Normal,essence,,runestone
@BobSenpai,@resdaynx,199059,2023-11-27 14:51:38,1,8000g,8000.0g,akuma,Style Page: Y'ffre's Fallen-Wood Girdle,1,Legendary,consumable,,collectible
@Ghatlh,@Andinian,178538,2023-11-27 14:21:40,1,25000g,25000.0g,akuma,Crafting Motif 107: Annihilarch's Chosen Maces,1,Epic,consumable,,motif
@cyoadventure,@Andinian,178530,2023-11-27 14:21:31,1,25000g,25000.0g,akuma,Crafting Motif 107: Annihilarch's Chosen Belts,1,Epic,consumable,,motif
@Akalam,@Andinian,178532,2023-11-27 14:21:26,1,23000g,23000.0g,akuma,Crafting Motif 107: Annihilarch's Chosen Bows,1,Epic,consumable,,motif
@Cheesed_GB,@Andinian,178542,2023-11-27 14:21:22,1,22000g,22000.0g,akuma,Crafting Motif 107: Annihilarch's Chosen Swords,1,Epic,consumable,,motif
@Primehunter501,@Ferucil,23126,2023-11-27 14:20:41,13,156g,12.0g,akuma,Spidersilk,1,Normal,normal,,materials
@pumbz,@MeowOwlOwl,5364,2023-11-27 13:51:58,1,150g,150.0g,akuma,Superb Glyph of Frost Resist,cp150,Fine,jewelry,,glyph
