seller_username,buyer_username,item_id,transaction_id,is_true,price,guild,item,details
@RajputLancer,@suzak22252,98427,1700886525,true,150,akuma,Beekeeper's Pauldron,"cp160 blue superior heavy apparel set beekeeper's gear shoulders impenetrable"",
"
@RajputLancer,@mikie_don,98444,1700415032,true,87,akuma,Beekeeper's Gauntlets,"cp160 green fine heavy apparel set beekeeper's gear hands invigorating"",
"
@Jetchi,@Remsen,33150,1699948013,false,3,akuma,Flint,"rr01 white normal materials style"",
"
@Guylords,@piaopi,98691,1700917346,false,500,akuma,Ring of Hist Sap,"cp160 green fine jewelry apparel set robes of the hist ring arcane"",
"
@Sabercat,@shy-robot,98692,1699994076,false,500,akuma,Necklace of Hist Sap,"cp160 green fine jewelry apparel set robes of the hist neck arcane"",
"
@Jetchi,@Remsen,33194,1699948014,false,3,akuma,Bone,"rr01 white normal materials style"",
"
@Jetchi,@Remsen,33251,1699948024,false,9,akuma,Molybdenum,"rr01 white normal materials style"",
"
@Jetchi,@Remsen,33252,1699948017,false,3,akuma,Adamantite,"rr01 white normal materials style"",
"
@krevius,@Blade22,33255,1700642659,true,3,akuma,Moonstone,"rr01 white normal materials style"",
"
@MadisonRayne,@Læn,98807,1700628163,true,138,akuma,Ice Staff of Hist Sap,"rr31 green fine weapon set robes of the hist frost staff two-handed charged"",
"
@Sabercat,@Deminia,98818,1699967079,true,300,akuma,Sash of Hist Sap,"cp160 green fine light apparel set robes of the hist waist invigorating"",
"
@AKAZA69,@KlumsBabe,533,1700734330,false,800,akuma,Sanded Oak,"rr01 white normal materials"",
"
@ConjuringWorm,@Bleztor,98915,1699822702,false,1000,akuma,Swamp Raider's Restoration Staff,"cp160 blue superior weapon set swamp raider healing staff two-handed powered"",
"
@Crazy_Ratt,@mikuriya,98917,1700833172,true,5000,akuma,Swamp Raider's Jack,"cp160 green fine medium apparel set swamp raider chest divines"",
"
@OneTroubledTurtle,@GRNYU,99065,1700856013,true,5000,akuma,Necklace of the Hatchling's Shell,"cp160 purple epic jewelry apparel set hatchling's shell neck healthy"",
"
@Sabercat,@Bleztor,99082,1699822622,false,300,akuma,Helm of the Hatchling's Shell,"cp160 green fine heavy apparel set hatchling's shell head infused"",
"
@Argorious,@HeyBobbyG,99094,1700626037,true,3000,akuma,Inferno Staff of the Hatchling's Shell,"cp160 blue superior weapon set hatchling's shell flame staff two-handed powered"",
"
@Jetchi,@Naybeon_Fangcutter,794,1700412931,false,516,akuma,Rawhide,"rr01 white normal materials"",
"
@Primehunter501,@alex_strutin,802,1700273406,true,278,akuma,Rough Maple,"rr01 white normal materials raw"",
"
@Fallen_Prophet,@freckles75,802,1700275804,true,180,akuma,Rough Maple,"rr01 white normal materials raw"",
"
@akwaaa,@Remsen,802,1700452510,false,60,akuma,Rough Maple,"rr01 white normal materials raw"",
"
@shanleyp,@PyroManiac713,808,1700164640,true,5320,akuma,Iron Ore,"rr01 white normal materials raw"",
"
@Primehunter501,@alex_strutin,808,1700273405,true,190,akuma,Iron Ore,"rr01 white normal materials raw"",
"
@Primehunter501,@Frankze,808,1700316059,true,38,akuma,Iron Ore,"rr01 white normal materials raw"",
"
@KlumsBabe,@ronval,808,1700679222,true,6880,akuma,Iron Ore,"rr01 white normal materials raw"",
"
@A.Holik,@jet710,808,1700701337,true,5767,akuma,Iron Ore,"rr01 white normal materials raw"",
"
@Scarrebend,@jazminMartinez,811,1700026221,true,612,akuma,Jute,"rr01 white normal materials"",
"
@ElQueue,@SunmoonJC,811,1700812418,true,1040,akuma,Jute,"rr01 white normal materials"",
"
@shanleyp,@C0snet,812,1700014483,true,20928,akuma,Raw Jute,"rr01 white normal materials raw"",
"
@Primehunter501,@alex_strutin,812,1700273403,true,864,akuma,Raw Jute,"rr01 white normal materials raw"",
"
@KlumsBabe,@AguaFrescaa,812,1700619432,true,9000,akuma,Raw Jute,"rr01 white normal materials raw"",
"
@Dmaged,@zerosuit2k,812,1700787948,true,276,akuma,Raw Jute,"rr01 white normal materials raw"",
"
@Sabercat,@Bleztor,99160,1699822620,false,300,akuma,Sabatons of the Hatchling's Shell,"cp160 green fine heavy apparel set hatchling's shell feet impenetrable"",
"
@ConjuringWorm,@Bleztor,99183,1699822816,false,2500,akuma,Greaves of the Hatchling's Shell,"cp160 blue superior heavy apparel set hatchling's shell legs invigorating"",
"
@Thonrad93,@NixNoctia,883,1700486703,false,15,akuma,Natural Water,"rr03 white normal materials potion solvent"",
"
@jigumiz,@Llorydian,197517,1700497567,true,20000,akuma,"Telvanni Dresser, Large Fungal","rr01 purple epic furnishings suite"",
"
